title,rating,year,actors,runtime,url
Indiana Jones and the Raiders of the Lost Ark,8.4,1981,Harrison Ford; Karen Allen; Paul Freeman; John Rhys-Davies,115,https://www.imdb.com//title/tt0082971/
Das Boot,8.4,1981,Jürgen Prochnow; Herbert Grönemeyer; Klaus Wennemann; Hubertus Bengsch,149,https://www.imdb.com//title/tt0082096/
Vuk,8.3,1981,Judit Pogány; József Gyabronka; Teri Földi; Gyula Szabó,79,https://www.imdb.com//title/tt0131636/
Mis,8.2,1981,Stanislaw Tym; Barbara Burska; Christine Paul; Krzysztof Kowalewski,111,https://www.imdb.com//title/tt0082755/
Davaro: Son Eskiya,8.1,1981,Kemal Sunal; Sener Sen; Pembe Mutlu; Aysen Gruda,94,https://www.imdb.com//title/tt0252361/
Ko to tamo peva,8.8,1980,Pavle Vuisic; Dragan Nikolic; Danilo 'Bata' Stojkovic; Aleksandar Bercek,86,https://www.imdb.com//title/tt0076276/
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,Mark Hamill; Harrison Ford; Carrie Fisher; Billy Dee Williams,124,https://www.imdb.com//title/tt0080684/
Zübük,8.6,1980,Kemal Sunal; Nevra Serezli; Kadir Savun; Bülent Kayabas,88,https://www.imdb.com//title/tt0253991/
The Shining,8.4,1980,Jack Nicholson; Shelley Duvall; Danny Lloyd; Scatman Crothers,146,https://www.imdb.com//title/tt0081505/
Raging Bull,8.2,1980,Robert De Niro; Cathy Moriarty; Joe Pesci; Frank Vincent,129,https://www.imdb.com//title/tt0081398/
Alien,8.5,1979,Sigourney Weaver; Tom Skerritt; John Hurt; Veronica Cartwright,117,https://www.imdb.com//title/tt0078748/
Apocalypse Now,8.5,1979,Martin Sheen; Marlon Brando; Robert Duvall; Frederic Forrest,147,https://www.imdb.com//title/tt0078788/
Golmaal,8.5,1979,Amol Palekar; Bindiya Goswami; Deven Verma; Shobha Khote,120,https://www.imdb.com//title/tt0079221/
Korkusuz Korkak,8.1,1979,Kemal Sunal; Aysen Atav; Turgut Özatay; Nejat Gürçen,77,https://www.imdb.com//title/tt0252611/
Stalker,8.1,1979,Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn; Nikolay Grinko,162,https://www.imdb.com//title/tt0079944/
Kibar Feyzo,8.7,1978,Kemal Sunal; Sener Sen; Ilyas Salman; Adile Nasit,83,https://www.imdb.com//title/tt0252597/
Neseli Günler,8.7,1978,Münir Özkul; Adile Nasit; Sener Sen; Aysen Gruda,92,https://www.imdb.com//title/tt0765833/
The Deer Hunter,8.1,1978,Robert De Niro; Christopher Walken; John Cazale; John Savage,183,https://www.imdb.com//title/tt0077416/
Höstsonaten,8.1,1978,Ingrid Bergman; Liv Ullmann; Lena Nyman; Halvar Björk,99,https://www.imdb.com//title/tt0077711/
Dawn of the Dead,7.8,1978,David Emge; Ken Foree; Scott H. Reiniger; Gaylen Ross,127,https://www.imdb.com//title/tt0077402/
Hababam Sinifi Uyaniyor,8.8,1977,Tayfun Akalin; Tuncay Akça; Halit Akçatepe; Sitki Akçatepe,94,https://www.imdb.com//title/tt0252490/
Saban Oglu Saban,8.7,1977,Kemal Sunal; Halit Akçatepe; Sener Sen; Sevda Aktolga,90,https://www.imdb.com//title/tt0253614/
Hababam Sinifi Tatilde,8.6,1977,Sevda Aktolga; Ahmet Ariman; Filiz Bozkurt; Aysen Gruda,97,https://www.imdb.com//title/tt0252489/
Çöpçüler Krali,8.6,1977,Kemal Sunal; Sener Sen; Aysen Gruda; Ihsan Yüce,80,https://www.imdb.com//title/tt0253997/
De sterrenoorlogen,8.6,1977,Mark Hamill; Harrison Ford; Carrie Fisher; Alec Guinness,121,https://www.imdb.com//title/tt0076759/
Süt Kardesler,8.9,1976,Kemal Sunal; Sener Sen; Halit Akçatepe; Hale Soygazi,80,https://www.imdb.com//title/tt0253779/
Tosun Pasa,8.9,1976,Kemal Sunal; Müjde Ar; Adile Nasit; Sener Sen,90,https://www.imdb.com//title/tt0253828/
Hababam Sinifi Sinifta Kaldi,8.9,1976,Kemal Sunal; Münir Özkul; Semra Özdamar; Adile Nasit,91,https://www.imdb.com//title/tt0252488/
Al-risâlah,8.9,1976,Abdallah Gheith; Mona Wassef; Hamdy Gheith; Ali Achmed Taram,207,https://www.imdb.com//title/tt0075143/
Kapicilar Krali,8.4,1976,Kemal Sunal; Sevda Ferdag; Bilge Zobu; Sevket Altug,84,https://www.imdb.com//title/tt0252591/
Hababam Sinifi,9.3,1975,Kemal Sunal; Münir Özkul; Halit Akçatepe; Tarik Akan,87,https://www.imdb.com//title/tt0252487/
One Flew Over the Cuckoo's Nest,8.7,1975,Jack Nicholson; Louise Fletcher; Michael Berryman; Peter Brocco,133,https://www.imdb.com//title/tt0073486/
Flåklypa Grand Prix,8.5,1975,Wenche Foss; Per Theodor Haugen; Harald Heide-Steen Jr.; Leif Juster,88,https://www.imdb.com//title/tt0073000/
Bizim Aile,8.4,1975,Münir Özkul; Adile Nasit; Tarik Akan; Itir Esen,88,https://www.imdb.com//title/tt0456047/
Chupke Chupke,8.3,1975,Dharmendra; Sharmila Tagore; Amitabh Bachchan; Jaya Bachchan,146,https://www.imdb.com//title/tt0072783/
The Godfather: Part II,9.0,1974,Al Pacino; Robert De Niro; Robert Duvall; Diane Keaton,202,https://www.imdb.com//title/tt0071562/
Scener ur ett äktenskap,8.4,1974,Liv Ullmann; Erland Josephson; Bibi Andersson; Gunnel Lindblom,169,https://www.imdb.com//title/tt6725014/
V boy idut odni 'stariki',8.3,1974,Leonid Bykov; Sergey Podgornyy; Sergei Ivanov; Rustam Sagdullaev,92,https://www.imdb.com//title/tt0070861/
Köyden Indim Sehire,8.3,1974,Kemal Sunal; Meral Zeren; Zeki Alasya; Metin Akpinar,77,https://www.imdb.com//title/tt0252619/
Chinatown,8.2,1974,Jack Nicholson; Faye Dunaway; John Huston; Perry Lopez,130,https://www.imdb.com//title/tt0071315/
Canim Kardesim,8.7,1973,Tarik Akan; Kahraman Kiral; Halit Akçatepe; Metin Akpinar,92,https://www.imdb.com//title/tt0267351/
The Sting,8.3,1973,Paul Newman; Robert Redford; Robert Shaw; Charles Durning,129,https://www.imdb.com//title/tt0070735/
Ivan Vasilevich menyaet professiyu,8.2,1973,Yuriy Yakovlev; Leonid Kuravlyov; Aleksandr Demyanenko; Saveliy Kramarov,88,https://www.imdb.com//title/tt0070233/
The Exorcist,8.1,1973,Ellen Burstyn; Max von Sydow; Linda Blair; Lee J. Cobb,122,https://www.imdb.com//title/tt0070047/
Paper Moon,8.1,1973,Ryan O'Neal; Tatum O'Neal; Madeline Kahn; John Hillerman,102,https://www.imdb.com//title/tt0070510/
The Godfather,9.2,1972,Marlon Brando; Al Pacino; James Caan; Diane Keaton,175,https://www.imdb.com//title/tt0068646/
Solaris,8.0,1972,Natalya Bondarchuk; Donatas Banionis; Jüri Järvet; Vladislav Dvorzhetskiy,167,https://www.imdb.com//title/tt0069293/
Schreeuw zonder antwoord,8.0,1972,Harriet Andersson; Liv Ullmann; Kari Sylwan; Ingrid Thulin,91,https://www.imdb.com//title/tt0069467/
Sleuth,8.0,1972,Laurence Olivier; Michael Caine; Alec Cawthorne; John Matthews,138,https://www.imdb.com//title/tt0069281/
Kozure Ôkami: Sanzu no kawa no ubaguruma,7.9,1972,Tomisaburô Wakayama; Kayo Matsuo; Minoru Ôki; Akiji Kobayashi,82,https://www.imdb.com//title/tt0068816/
De Laatste Kruistocht,8.5,1971,Amza Pellea; Ion Besoiu; Olga Tudorache; Irina Gardescu,203,https://www.imdb.com//title/tt0066078/
Dzhentlmeny udachi,8.4,1971,Evgeniy Leonov; Georgiy Vitsin; Saveliy Kramarov; Radner Muratov,88,https://www.imdb.com//title/tt0068519/
A Clockwork Orange,8.3,1971,Malcolm McDowell; Patrick Magee; Michael Bates; Warren Clarke,136,https://www.imdb.com//title/tt0066921/
12 stulev,8.2,1971,Archil Gomiashvili; Sergey Filippov; Mikhail Pugovkin; Glikeriya Bogdanova-Chesnokova,153,https://www.imdb.com//title/tt0065670/
Anand,8.1,1971,Rajesh Khanna; Amitabh Bachchan; Sumita Sanyal; Ramesh Deo,122,https://www.imdb.com//title/tt0066763/
Patton,8.0,1970,George C. Scott; Karl Malden; Stephen Young; Michael Strong,172,https://www.imdb.com//title/tt0066206/
De dader staat boven verdenking,8.0,1970,Gian Maria Volontè; Florinda Bolkan; Gianni Santuccio; Orazio Orlando,115,https://www.imdb.com//title/tt0065889/
Il conformista,7.9,1970,Jean-Louis Trintignant; Stefania Sandrelli; Gastone Moschin; Enzo Tarascio,113,https://www.imdb.com//title/tt0065571/
De Rode Cirkel,7.9,1970,Alain Delon; Bourvil; Gian Maria Volontè; Yves Montand,140,https://www.imdb.com//title/tt0065531/
Beloe solntse pustyni,7.7,1970,Anatoliy Kuznetsov; Pavel Luspekayev; Spartak Mishulin; Kakhi Kavsadze,84,https://www.imdb.com//title/tt0066565/
A tanú,8.7,1969,Ferenc Kállai; Lajos Öze; Béla Both; Zoltán Fábri,105,https://www.imdb.com//title/tt0065067/
Brilliantovaya ruka,8.4,1969,Yuriy Nikulin; Nina Grebeshkova; Andrey Mironov; Anatoliy Papanov,94,https://www.imdb.com//title/tt0062759/
Z,8.2,1969,Yves Montand; Irene Papas; Jean-Louis Trintignant; François Périer,127,https://www.imdb.com//title/tt0065234/
The Army of Shadows,8.1,1969,Lino Ventura; Paul Meurisse; Jean-Pierre Cassel; Simone Signoret,145,https://www.imdb.com//title/tt0064040/
Butch Cassidy and the Sundance Kid,8.0,1969,Paul Newman; Robert Redford; Katharine Ross; Strother Martin,110,https://www.imdb.com//title/tt0064115/
Once Upon a Time in the West,8.5,1968,Henry Fonda; Charles Bronson; Claudia Cardinale; Jason Robards,165,https://www.imdb.com//title/tt0064116/
2001: Een zwerftocht in de ruimte,8.3,1968,Keir Dullea; Gary Lockwood; William Sylvester; Daniel Richter,149,https://www.imdb.com//title/tt0062622/
Padosan,8.1,1968,Sunil Dutt; Saira Banu; Mehmood; Kishore Kumar,157,https://www.imdb.com//title/tt0063404/
Rosemary's Baby,8.0,1968,Mia Farrow; John Cassavetes; Ruth Gordon; Sidney Blackmer,137,https://www.imdb.com//title/tt0063522/
Skammen,8.0,1968,Liv Ullmann; Max von Sydow; Sigge Fürst; Gunnar Björnstrand,103,https://www.imdb.com//title/tt0063611/
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",8.4,1967,Aleksandr Demyanenko; Natalya Varley; Vladimir Etush; Frunzik Mkrtchyan,82,https://www.imdb.com//title/tt0060584/
Jôi-uchi: Hairyô tsuma shimatsu,8.3,1967,Toshirô Mifune; Yôko Tsukasa; Gô Katô; Tatsuyoshi Ehara,128,https://www.imdb.com//title/tt0061847/
Cool Hand Luke,8.1,1967,Paul Newman; George Kennedy; Strother Martin; J.D. Cannon,127,https://www.imdb.com//title/tt0061512/
The Graduate,8.0,1967,Dustin Hoffman; Anne Bancroft; Katharine Ross; William Daniels,106,https://www.imdb.com//title/tt0061722/
Le Samouraï,8.0,1967,Alain Delon; François Périer; Nathalie Delon; Cathy Rosier,105,https://www.imdb.com//title/tt0062229/
"The Good, the Bad and the Ugly",8.8,1966,Clint Eastwood; Eli Wallach; Lee Van Cleef; Aldo Giuffrè,161,https://www.imdb.com//title/tt0060196/
Beregis avtomobilya,8.1,1966,Innokentiy Smoktunovskiy; Oleg Efremov; Lyubov Dobrzhanskaya; Olga Aroseva,94,https://www.imdb.com//title/tt0060161/
Persona,8.1,1966,Bibi Andersson; Liv Ullmann; Margaretha Krook; Gunnar Björnstrand,85,https://www.imdb.com//title/tt0060827/
De slag om Algiers,8.1,1966,Brahim Hadjadj; Jean Martin; Yacef Saadi; Samia Kerbash,121,https://www.imdb.com//title/tt0058946/
Wie is bang voor Virginia Woolf?,8.0,1966,Elizabeth Taylor; Richard Burton; George Segal; Sandy Dennis,131,https://www.imdb.com//title/tt0061184/
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.5,1965,Aleksandr Demyanenko; Mikhail Pugovkin; Aleksei Smirnov; Vladimir Basov,95,https://www.imdb.com//title/tt0059550/
Guide,8.4,1965,Dev Anand; Waheeda Rehman; Leela Chitnis; Anwar Hussain,183,https://www.imdb.com//title/tt0059246/
Oorlog en Vrede,8.3,1965,Lyudmila Saveleva; Vyacheslav Tikhonov; Sergey Bondarchuk; Boris Zakhava,453,https://www.imdb.com//title/tt0063794/
Akahige,8.3,1965,Toshirô Mifune; Yûzô Kayama; Tsutomu Yamazaki; Reiko Dan,185,https://www.imdb.com//title/tt0058888/
For a Few Dollars More,8.2,1965,Clint Eastwood; Lee Van Cleef; Gian Maria Volontè; Mara Krupp,132,https://www.imdb.com//title/tt0059578/
De vrouw in het zand,8.5,1964,Eiji Okada; Kyôko Kishida; Hiroko Itô; Kôji Mitsui,147,https://www.imdb.com//title/tt0058625/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,Peter Sellers; George C. Scott; Sterling Hayden; Keenan Wynn,95,https://www.imdb.com//title/tt0057012/
Soy Cuba,8.2,1964,Sergio Corrieri; Salvador Wood; José Gallardo; Raúl García,141,https://www.imdb.com//title/tt0058604/
Charulata,8.1,1964,Soumitra Chatterjee; Madhavi Mukherjee; Shailen Mukherjee; Shyamal Ghoshal,117,https://www.imdb.com//title/tt0057935/
Fail Safe,8.0,1964,Henry Fonda; Walter Matthau; Fritz Weaver; Dan O'Herlihy,112,https://www.imdb.com//title/tt0058083/
Tengoku to jigoku,8.4,1963,Toshirô Mifune; Yutaka Sada; Tatsuya Nakadai; Kyôko Kagawa,143,https://www.imdb.com//title/tt0057565/
The Great Escape,8.2,1963,Steve McQueen; James Garner; Richard Attenborough; Charles Bronson,172,https://www.imdb.com//title/tt0057115/
Nattvardsgästerna,8.1,1963,Ingrid Thulin; Gunnar Björnstrand; Gunnel Lindblom; Max von Sydow,81,https://www.imdb.com//title/tt0057358/
8½,8.0,1963,Marcello Mastroianni; Anouk Aimée; Claudia Cardinale; Sandra Milo,138,https://www.imdb.com//title/tt0056801/
El verdugo,8.0,1963,Nino Manfredi; Emma Penella; José Isbert; José Luis López Vázquez,87,https://www.imdb.com//title/tt0057643/
Seppuku,8.6,1962,Tatsuya Nakadai; Akira Ishihama; Shima Iwashita; Tetsurô Tanba,133,https://www.imdb.com//title/tt0056058/
To Kill a Mockingbird,8.3,1962,Gregory Peck; John Megna; Frank Overton; Rosemary Murphy,129,https://www.imdb.com//title/tt0056592/
Lawrence of Arabia,8.3,1962,Peter O'Toole; Alec Guinness; Anthony Quinn; Jack Hawkins,218,https://www.imdb.com//title/tt0056172/
Il sorpasso,8.2,1962,Vittorio Gassman; Catherine Spaak; Jean-Louis Trintignant; Claudio Gora,105,https://www.imdb.com//title/tt0056512/
An Autumn Afternoon,8.1,1962,Chishû Ryû; Shima Iwashita; Keiji Sada; Mariko Okada,113,https://www.imdb.com//title/tt0056444/
Ningen no jôken,8.8,1961,Tatsuya Nakadai; Michiyo Aratama; Tamao Nakamura; Yûsuke Kawazu,190,https://www.imdb.com//title/tt0055233/
Oordeel te Neurenberg,8.3,1961,Spencer Tracy; Burt Lancaster; Richard Widmark; Marlene Dietrich,179,https://www.imdb.com//title/tt0055031/
Yôjinbô,8.2,1961,Toshirô Mifune; Eijirô Tôno; Tatsuya Nakadai; Yôko Tsukasa,110,https://www.imdb.com//title/tt0055630/
Viridiana,8.1,1961,Silvia Pinal; Francisco Rabal; Fernando Rey; José Calvo,90,https://www.imdb.com//title/tt0055601/
La notte,8.0,1961,Jeanne Moreau; Marcello Mastroianni; Monica Vitti; Bernhard Wicki,122,https://www.imdb.com//title/tt0054130/
Le trou,8.5,1960,André Bervil; Jean Keraudy; Michel Constantin; Philippe Leroy,131,https://www.imdb.com//title/tt0054407/
Psycho,8.5,1960,Anthony Perkins; Janet Leigh; Vera Miles; John Gavin,109,https://www.imdb.com//title/tt0054215/
Het appartement,8.3,1960,Jack Lemmon; Shirley MacLaine; Fred MacMurray; Ray Walston,125,https://www.imdb.com//title/tt0053604/
Rocco e i suoi fratelli,8.2,1960,Alain Delon; Renato Salvatori; Annie Girardot; Claudia Cardinale,179,https://www.imdb.com//title/tt0054248/
Inherit the Wind,8.1,1960,Spencer Tracy; Fredric March; Gene Kelly; Dick York,128,https://www.imdb.com//title/tt0053946/
Apur Sansar,8.5,1959,Soumitra Chatterjee; Sharmila Tagore; Alok Chakravarty; Swapan Mukherjee,105,https://www.imdb.com//title/tt0052572/
Ningen no jôken,8.5,1959,Tatsuya Nakadai; Michiyo Aratama; Kokinji Katsura; Jun Tatara,181,https://www.imdb.com//title/tt0053115/
Ningen no jôken,8.5,1959,Tatsuya Nakadai; Michiyo Aratama; Chikage Awashima; Ineko Arima,208,https://www.imdb.com//title/tt0053114/
North by Northwest,8.3,1959,Cary Grant; Eva Marie Saint; James Mason; Jessie Royce Landis,136,https://www.imdb.com//title/tt0053125/
Ballada o soldate,8.2,1959,Vladimir Ivashov; Zhanna Prokhorenko; Antonina Maksimova; Nikolay Kryuchkov,88,https://www.imdb.com//title/tt0052600/
Vertigo,8.3,1958,James Stewart; Kim Novak; Barbara Bel Geddes; Tom Helmore,128,https://www.imdb.com//title/tt0052357/
Kakushi-toride no san-akunin,8.1,1958,Toshirô Mifune; Misa Uehara; Minoru Chiaki; Kamatari Fujiwara,139,https://www.imdb.com//title/tt0051808/
Kat op een heet zinken dak,8.0,1958,Elizabeth Taylor; Paul Newman; Burl Ives; Jack Carson,108,https://www.imdb.com//title/tt0051459/
Touch of Evil,8.0,1958,Charlton Heston; Orson Welles; Janet Leigh; Joseph Calleia,95,https://www.imdb.com//title/tt0052311/
I soliti ignoti,7.9,1958,Vittorio Gassman; Marcello Mastroianni; Renato Salvatori; Totò,106,https://www.imdb.com//title/tt0052216/
De 12 gezworenen,9.0,1957,Henry Fonda; Lee J. Cobb; Martin Balsam; John Fiedler,96,https://www.imdb.com//title/tt0050083/
Het veld van eer,8.4,1957,Kirk Douglas; Ralph Meeker; Adolphe Menjou; George Macready,88,https://www.imdb.com//title/tt0050825/
Witness for the Prosecution,8.4,1957,Tyrone Power; Marlene Dietrich; Charles Laughton; Elsa Lanchester,116,https://www.imdb.com//title/tt0051201/
Pyaasa,8.3,1957,Guru Dutt; Waheeda Rehman; Mala Sinha; Rehman Khan,146,https://www.imdb.com//title/tt0050870/
Letyat zhuravli,8.3,1957,Tatyana Samoylova; Aleksey Batalov; Vasiliy Merkurev; Aleksandr Shvorin,95,https://www.imdb.com//title/tt0050634/
Un condamné à mort s'est échappé ou Le vent souffle où il veut,8.3,1956,François Leterrier; Charles Le Clainche; Maurice Beerblock; Roland Monod,101,https://www.imdb.com//title/tt0049902/
Aparajito,8.3,1956,Pinaki Sengupta; Smaran Ghosal; Kamala Adhikari; Lalchand Banerjee,110,https://www.imdb.com//title/tt0048956/
Biruma no tategoto,8.0,1956,Rentarô Mikuni; Shôji Yasui; Tatsuya Mihashi; Jun Hamamura,116,https://www.imdb.com//title/tt0049012/
The Killing,8.0,1956,Sterling Hayden; Coleen Gray; Vince Edwards; Jay C. Flippen,84,https://www.imdb.com//title/tt0049406/
De Tien Geboden,7.9,1956,Charlton Heston; Yul Brynner; Anne Baxter; Edward G. Robinson,220,https://www.imdb.com//title/tt0049833/
Pather Panchali,8.3,1955,Kanu Bannerjee; Karuna Bannerjee; Subir Banerjee; Chunibala Devi,125,https://www.imdb.com//title/tt0048473/
Ordet,8.3,1955,Henrik Malberg; Emil Hass Christensen; Preben Lerdorff Rye; Hanne Aagesen,126,https://www.imdb.com//title/tt0048452/
Demonen,8.1,1955,Simone Signoret; Véra Clouzot; Paul Meurisse; Charles Vanel,117,https://www.imdb.com//title/tt0046911/
Du rififi chez les hommes,8.1,1955,Jean Servais; Carl Möhner; Robert Manuel; Janine Darcey,118,https://www.imdb.com//title/tt0048021/
The Night of the Hunter,8.0,1955,Robert Mitchum; Shelley Winters; Lillian Gish; James Gleason,92,https://www.imdb.com//title/tt0048424/
Shichinin no samurai,8.6,1954,Toshirô Mifune; Takashi Shimura; Keiko Tsushima; Yukiko Shimazaki,207,https://www.imdb.com//title/tt0047478/
Rear Window,8.5,1954,James Stewart; Grace Kelly; Wendell Corey; Thelma Ritter,112,https://www.imdb.com//title/tt0047396/
Sanshô dayû,8.4,1954,Kinuyo Tanaka; Yoshiaki Hanayagi; Kyôko Kagawa; Eitarô Shindô,124,https://www.imdb.com//title/tt0047445/
Dial M for Murder,8.2,1954,Ray Milland; Grace Kelly; Robert Cummings; John Williams,105,https://www.imdb.com//title/tt0046912/
On the Waterfront,8.1,1954,Marlon Brando; Karl Malden; Lee J. Cobb; Rod Steiger,108,https://www.imdb.com//title/tt0047296/
Tôkyô monogatari,8.2,1953,Chishû Ryû; Chieko Higashiyama; Sô Yamamura; Setsuko Hara,136,https://www.imdb.com//title/tt0046438/
Ugetsu monogatari,8.2,1953,Masayuki Mori; Machiko Kyô; Kinuyo Tanaka; Mitsuko Mito,96,https://www.imdb.com//title/tt0046478/
Het loon van de Angst,8.2,1953,Yves Montand; Charles Vanel; Peter van Eyck; Folco Lulli,131,https://www.imdb.com//title/tt0046268/
Stalag 17,8.0,1953,William Holden; Don Taylor; Otto Preminger; Robert Strauss,120,https://www.imdb.com//title/tt0046359/
Roman Holiday,8.0,1953,Gregory Peck; Audrey Hepburn; Eddie Albert; Hartley Power,118,https://www.imdb.com//title/tt0046250/
Singin' in the Rain,8.3,1952,Gene Kelly; Donald O'Connor; Debbie Reynolds; Jean Hagen,103,https://www.imdb.com//title/tt0045152/
Ikiru,8.3,1952,Takashi Shimura; Nobuo Kaneko; Shin'ichi Himori; Haruo Tanaka,143,https://www.imdb.com//title/tt0044741/
Umberto D.,8.2,1952,Carlo Battisti; Maria Pia Casilio; Lina Gennari; Ileana Simova,89,https://www.imdb.com//title/tt0045274/
Saikaku ichidai onna,8.1,1952,Kinuyo Tanaka; Tsukie Matsuura; Ichirô Sugai; Toshirô Mifune,148,https://www.imdb.com//title/tt0045112/
Jeux interdits,8.0,1952,Georges Poujouly; Brigitte Fossey; Amédée; Laurence Badie,86,https://www.imdb.com//title/tt0043686/
Het grote carnaval,8.1,1951,Kirk Douglas; Jan Sterling; Robert Arthur; Porter Hall,111,https://www.imdb.com//title/tt0043338/
Scrooge,8.1,1951,Alastair Sim; Jack Warner; Kathleen Harrison; Mervyn Johns,86,https://www.imdb.com//title/tt0044008/
Early Summer,8.1,1951,Setsuko Hara; Chishû Ryû; Chikage Awashima; Kuniko Miyake,125,https://www.imdb.com//title/tt0043313/
De maniak,7.9,1951,Farley Granger; Robert Walker; Ruth Roman; Leo G. Carroll,101,https://www.imdb.com//title/tt0044079/
A Streetcar Named Desire,7.9,1951,Vivien Leigh; Marlon Brando; Kim Hunter; Karl Malden,122,https://www.imdb.com//title/tt0044081/
Sunset Boulevard,8.4,1950,William Holden; Gloria Swanson; Erich von Stroheim; Nancy Olson,110,https://www.imdb.com//title/tt0043014/
Los olvidados,8.3,1950,Alfonso Mejía; Roberto Cobo; Estela Inda; Miguel Inclán,85,https://www.imdb.com//title/tt0042804/
All About Eve,8.2,1950,Bette Davis; Anne Baxter; George Sanders; Celeste Holm,138,https://www.imdb.com//title/tt0042192/
Rashômon,8.2,1950,Toshirô Mifune; Machiko Kyô; Masayuki Mori; Takashi Shimura,88,https://www.imdb.com//title/tt0042876/
De schuimers van de nacht,7.9,1950,Richard Widmark; Gene Tierney; Googie Withers; Hugh Marlowe,101,https://www.imdb.com//title/tt0042788/
Banshun,8.2,1949,Chishû Ryû; Setsuko Hara; Yumeji Tsukioka; Haruko Sugimura,108,https://www.imdb.com//title/tt0041154/
De erfgename,8.1,1949,Olivia de Havilland; Montgomery Clift; Ralph Richardson; Miriam Hopkins,115,https://www.imdb.com//title/tt0041452/
White Heat,8.1,1949,James Cagney; Virginia Mayo; Edmond O'Brien; Margaret Wycherly,114,https://www.imdb.com//title/tt0042041/
The Third Man,8.1,1949,Orson Welles; Joseph Cotten; Alida Valli; Trevor Howard,104,https://www.imdb.com//title/tt0041959/
Kind Hearts and Coronets,8.0,1949,Dennis Price; Alec Guinness; Valerie Hobson; Joan Greenwood,106,https://www.imdb.com//title/tt0041546/
Ladri di biciclette,8.3,1948,Lamberto Maggiorani; Enzo Staiola; Lianella Carell; Elena Altieri,89,https://www.imdb.com//title/tt0040522/
The Treasure of the Sierra Madre,8.2,1948,Humphrey Bogart; Walter Huston; Tim Holt; Bruce Bennett,126,https://www.imdb.com//title/tt0040897/
The Red Shoes,8.1,1948,Anton Walbrook; Marius Goring; Moira Shearer; Robert Helpmann,135,https://www.imdb.com//title/tt0040725/
Brief van een onbekende vrouw,7.9,1948,Joan Fontaine; Louis Jourdan; Mady Christians; Marcel Journet,87,https://www.imdb.com//title/tt0040536/
I Remember Mama,7.9,1948,Irene Dunne; Barbara Bel Geddes; Oskar Homolka; Philip Dorn,134,https://www.imdb.com//title/tt0040458/
Gangsters vergeten niet,8.0,1947,Robert Mitchum; Jane Greer; Kirk Douglas; Rhonda Fleming,97,https://www.imdb.com//title/tt0039689/
Miracle on 34th Street,7.9,1947,Edmund Gwenn; Maureen O'Hara; John Payne; Gene Lockhart,96,https://www.imdb.com//title/tt0039628/
Monsieur Verdoux,7.8,1947,Charles Chaplin; Mady Correll; Allison Roddan; Robert Lewis,124,https://www.imdb.com//title/tt0039631/
Mrs. Muir ziet spoken,7.8,1947,Gene Tierney; Rex Harrison; George Sanders; Edna Best,104,https://www.imdb.com//title/tt0039420/
Black Narcissus,7.8,1947,Deborah Kerr; David Farrar; Flora Robson; Jenny Laird,101,https://www.imdb.com//title/tt0039192/
It's a Wonderful Life,8.6,1946,James Stewart; Donna Reed; Lionel Barrymore; Thomas Mitchell,130,https://www.imdb.com//title/tt0038650/
De beste jaren van ons leven,8.1,1946,Myrna Loy; Dana Andrews; Fredric March; Teresa Wright,170,https://www.imdb.com//title/tt0036868/
Een Zaak van Leven en Dood,8.0,1946,David Niven; Kim Hunter; Robert Coote; Kathleen Byron,104,https://www.imdb.com//title/tt0038733/
De schoenpoetsertjes,8.0,1946,Rinaldo Smordoni; Franco Interlenghi; Annielo Mele; Bruno Ortensi,87,https://www.imdb.com//title/tt0038913/
Notorious,7.9,1946,Cary Grant; Ingrid Bergman; Claude Rains; Louis Calhern,102,https://www.imdb.com//title/tt0038787/
Les enfants du paradis,8.3,1945,Arletty; Jean-Louis Barrault; Pierre Brasseur; Pierre Renoir,189,https://www.imdb.com//title/tt0037674/
Brief Encounter,8.0,1945,Celia Johnson; Trevor Howard; Stanley Holloway; Joyce Carey,86,https://www.imdb.com//title/tt0037558/
Mildred Pierce,8.0,1945,Joan Crawford; Jack Carson; Zachary Scott; Eve Arden,111,https://www.imdb.com//title/tt0037913/
Er groeit een boom in Brooklyn,8.0,1945,Dorothy McGuire; Joan Blondell; James Dunn; Lloyd Nolan,129,https://www.imdb.com//title/tt0038190/
Roma città aperta,8.0,1945,Anna Magnani; Aldo Fabrizi; Marcello Pagliero; Vito Annichiarico,103,https://www.imdb.com//title/tt0038890/
Double Indemnity,8.3,1944,Fred MacMurray; Barbara Stanwyck; Edward G. Robinson; Byron Barr,107,https://www.imdb.com//title/tt0036775/
Laura,7.9,1944,Gene Tierney; Dana Andrews; Clifton Webb; Vincent Price,88,https://www.imdb.com//title/tt0037008/
Gaslicht,7.8,1944,Charles Boyer; Ingrid Bergman; Joseph Cotten; May Whitty,114,https://www.imdb.com//title/tt0036855/
Avontuur op Martinique,7.8,1944,Humphrey Bogart; Lauren Bacall; Walter Brennan; Dolores Moran,100,https://www.imdb.com//title/tt0037382/
